Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=SYSCALL msg=audit(1779748078.328:497): arch=c000003e syscall=59 success=yes exit=0 a0=559e428ca548 a1=559e428cb5c0 a2=559e428e1580 a3=0 items=2 ppid=1382 pid=1383 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""apt-get"" exe=""/usr/bin/apt-get"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"Usuario alumno asociado a root intentó ejecutar un comando con privilegios elevados (apt-get), lo cual es inusual y representa una alta amenaza de seguridad.",11.1,phi3:mini
"type=SYSCALL msg=audit(1779748078.392:504): arch=c000003e syscall=59 success=yes exit=0 a0=556aca352bb8 a1=556aca352af0 a2=556aca352b40 a3=8 items=2 ppid=1387 pid=1389 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""systemctl"" exe=""/usr/bin/systemctl"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El archivo de registro muestra a un usuario normal ('alumno' con UID 'root') ejecutando root como sistema y comandos del administrador (ejecuciones que incluyen el comando systemctl) sin sesión interactiva. Este comportamiento es sospechoso, ya que sugiere acceso no autorizado o mal uso de privilegios elevados.",10.17,phi3:mini
"type=SYSCALL msg=audit(1779748215.592:554): arch=c000003e syscall=59 success=yes exit=0 a0=5640f547b4f8 a1=5640f546d5c0 a2=5640f54801c0 a3=0 items=2 ppid=1415 pid=1416 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""systemctl"" exe=""/usr/bin/systemctl"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario 'alumno' ejecutó systemctl, una herramienta administrativa con permisos elevados (uid=0), sugerente de un posible mal uso intencional o falta de confidencialidad.",7.72,phi3:mini
"type=SYSCALL msg=audit(1779748378.340:577): arch=c000003e syscall=59 success=yes exit=0 a0=5571388f44f8 a1=5571388e65c0 a2=5571388f9250 a3=0 items=2 ppid=1420 pid=1421 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",MEDIO,"El usuario root ejecutó el comando useradd con permisos completo, lo cual es un comportamiento esperado pero requiere seguimiento para garantizar que se están creando omitiendo objetos de seguridad adecuadamente.",7.57,phi3:mini
"type=SYSCALL msg=audit(1779748378.392:588): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e7037b0 a2=7fff0e7037a8 a3=7f876e3ca740 items=1 ppid=1421 pid=1422 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"Usuario root ejecutó el comando useradd con permisos elevados, lo cual es altamente inusual y representa un riesgo ya que podría indicar una falsificación de identidad o cambios no autorizados en la configuración del sistema.",8.07,phi3:mini
"type=SYSCALL msg=audit(1779748378.392:589): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e7037b0 a2=7fff0e7037a8 a3=7f876e3ca740 items=1 ppid=1421 pid=1423 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"Una persona no identificada intentó agregar un usuario (useradd) con privilegios root, lo que sugiere una actividad sospechosa como podría ser la creación de cuenta falsas.",7.44,phi3:mini
"type=SYSCALL msg=audit(1779748378.392:590): arch=c000003e syscall=59 success=no exit=-2 a0=56145671236e a1=7fff0e7037c0 a2=7fff0e7037b8 a3=7f876e3ca740 items=1 ppid=1421 pid=1424 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El alumno root intentó ejecutar una shell sin sesión para añadir un usuario, lo cual es inusual y representa riesgos de seguridad significativos.",6.84,phi3:mini
"type=SYSCALL msg=audit(1779748378.396:592): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e703c10 a2=7fff0e703c08 a3=7f876e3ca740 items=1 ppid=1421 pid=1425 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario root ejecutó useradd, que es un comando poten0rmenetal y podría indicar una gestión inadecuada de entradas.",6.72,phi3:mini
"type=SYSCALL msg=audit(1779748378.396:593): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e703c10 a2=7fff0e703c08 a3=7f876e3ca740 items=1 ppid=1421 pid=1426 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El anonimo root intentó utilizar el comando useradd, que es una operación administrativa pero con un riesgo alto dado su naturale0za y la falta de monitoreo.",6.86,phi3:mini
"type=SYSCALL msg=audit(1779748378.400:594): arch=c000003e syscall=59 success=no exit=-2 a0=56145671236e a1=7fff0e703c20 a2=7fff0e703c18 a3=7f876e3ca740 items=1 ppid=1421 pid=1427 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario root ejecutó useradd, que normalmente requiere privilegios elevados. Sin embargo, la auditoría no muestra intentos sospechosos directamente asociados al log.",7.06,phi3:mini
