Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:258): auid=1000 ses=1 subj=unconfined op=add_rule key=""shadow_access"" list=4 res=1AUID=""alumno""",MEDIO,La adición del grupo 'alumno' al usuario con ID de sesión sugiere potenzales accesos no autorizados. Se requiere verificación y validación.,11.67,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:258): arch=c000003e syscall=44 success=yes exit=1080 a0=3 a1=7ffd37190a40 a2=438 a3=0 items=1 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario root está ejecutando auditctl, lo cual es normal para administradores del sistema pero requiere monitoreo ya que los comandos de privilegios elevados pueden ser utilizados maliciosamente.",8.04,phi3:mini
type=SOCKADDR msg=audit(1779746663.172:258): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 },INFO,"Registro normal de socket, sin signos inmediatos de malas prácticas.",5.14,phi3:mini
"type=CWD msg=audit(1779746663.172:258): cwd=""/home/alumno""",INFO,El registro muestra que el usuario 'alumno' está en su directorio personal sin indicar acciones maliciosas.,5.62,phi3:mini
"type=PATH msg=audit(1779746663.172:258): item=0 name=""/etc/"" inode=1048577 dev=08:02 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El usuario root está accediendo correctamente a /etc/, archivo sistema, sin mostrar signos de actividad sospechosa.",6.13,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:258): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,BAJO,"Las etiquetas de procesos proctitle muestran una configuración común, y no se indica ninguna actividad sospechosa.",6.53,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:266): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f30408222c4 a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El alumno intentó ejecutar sudo como root, lo cual es una acción no autorizada que pone en riesgo la seguridad del sistema.",7.03,phi3:mini
"type=CWD msg=audit(1779746681.800:266): cwd=""/home/alumno""",INFO,"El alumno ha cambiado de directorio, lo cual es común durante actividades educativas.",5.16,phi3:mini
"type=PATH msg=audit(1779746681.800:266): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"Se registraron actividades legítimas de lectura por parte del superusuario root en el archivo /etc/shadow, que contiene contraseñas y puede requerir autorizaciones elevadas para acceder.",7.33,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:266): proctitle=7375646F00617564697463746C002D6C,INFO,No hay ninguna actividad sospechosa detectada en este log.,4.82,phi3:mini
