Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"{""auid"": ""1000"", ""key"": ""shadow_access"", ""type"": ""CONFIG_CHANGE""}",ALTO,"La acción 'CONFIG_CHANGE' sugiere alteraciones de configuración, lo cual podría significar cambios no autorizados o maliciosos en archivos cruciales como /etc/shadow.",9.96,phi3:mini
"{""syscall"": ""44"", ""success"": ""yes"", ""exit"": ""1080"", ""auid"": ""1000"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""auditctl"", ""exe"": ""/usr/sbin/auditctl"", ""key"": ""(null)"", ""type"": ""SYSCALL""}",MEDIO,Auditctl es un comando para iniciar el auditing. La ejecución por root con éxito y los intentos fallidos de lectura podrían indicar una actividad no esperada como pruebas o exploración.,6.82,phi3:mini
"{""type"": ""SOCKADDR""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/"", ""type"": ""PATH""}",MEDIO,La ejecución del comando 'ls' en el directorio raíz (/etc/) es inusual para un usuario que no tiene privilegios elevados y podría indicar la explotación de vulnerabilidades conocidas o maliciosa.,6.94,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",MEDIO,"El usuario con el ID de grupo y euid ejecutó sudo sin argumentos, lo que puede ser sospechoso si no es un comportamiento normal para ese usuario.",6.02,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,La operación 'cat' sobre '/etc/shadow' con permiso de ejecución (euid=0) es anormal y sugiere un intento directo de acceder a credenciales confidenciales.,6.91,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,El intento exitoso de ejecución sudo sin verificación visual sugiere un comportamiento anómalo poten0rmente malintencionado.,5.52,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido auditd al intentar leer el archivo /etc/shadow con excepción -13, lo que sugiere una violación de los accesos de privilegios o un posible ataque.",6.85,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""4294967295"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""cron"", ""exe"": ""/usr/sbin/cron"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",MEDIO,"El proceso cron está utilizando privilegios elevados para ejecutar, lo cual es normal aunque requiere supervisión.",5.21,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",MEDIO,"La ejecución del comando cat en el archivo /etc/shadow sugiere una revisión de credenciales, aunque no hay signos evidentes de actividad maliciosa como la alteración directa o transmisión a otra parte.",7.38,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,"El uso de sudo por parte del usuario con privilegios elevados es común, pero este registro muestra que el intento fallido sugiere una actividad sospechosa como la transmisión o copia ilegal de archivos sensibles.",7.2,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"El registro muestra un auditd mensaje con fallo en la ejecución de cat sobre el archivo /etc/shadow, lo que implica intento fallido posiblemente relacionado al acceso a credenciales del sistema.",6.91,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,"El usuario root intento usar sudo, que es una acción de alto riesgo ya que puede cambiar el contexto privilegiado sin verificación directa. La salida exit=7 indica un error específico relacionado con la opción 'sudo'.",7.06,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"El log muestra un intento fallido al leer el archivo /etc/shadow, lo cual es una operación de alto riesgo debido a la naturale0 del contenido (credenciales), y sucede con permisos insuficientes para acceder.",7.55,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""5"", ""auid"": ""4294967295"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""sshd"", ""exe"": ""/usr/sbin/sshd"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",BAJO,"El sistema operativo ha iniciado el servidor SSH con permisos de root, pero la ejecución es normal y segura para auditar.",5.43,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido de lectura del archivo /etc/shadow mediante la ejecución del comando cat, indicativo de un intento deshonesto para acceder a las credenciales del sistema.",6.25,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""5"", ""auid"": ""4294967295"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""sshd"", ""exe"": ""/usr/sbin/sshd"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",MEDIO,"El servicio sshd ejecutándose con privilegios elevados mostrando comandos asociados a acceso de usuario-root y encriptado/desencriptado, aunque la secuencia audit no indica actividad maliciosa directa.",7.05,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido con exit=-13 indica una falta de permisos para acceder al archivo /etc/shadow, lo cual podría señalar un intento fraudulento como el robo de credenciales.",7.1,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""5"", ""auid"": ""1000"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""sshd"", ""exe"": ""/usr/sbin/sshd"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",INFO,Syscall shadow access success as root without any indication of malicious intent in the log entry.,4.66,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido de lectura del archivo /etc/shadow por el usuario no administrativo, lo cual sugiere una posible violación de seguridad.",6.0,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,"El intento exitoso de usar sudo para ejecutar comandos con privilegios elevados (exit=0) es anormal, sugiriendo posibles actividades sospechosas o un mal uso del comando.",6.42,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido de lectura del archivo /etc/shadow, indicativo de intentos maliciosos para adquirir credenciales.",5.66,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,"El usuario root intentó usar sudo para ejecutar un comando con permisos elevados que afecta la seguridad, posiblemente indicando una actividad sospechosa como cambios no autorizados en archivos sensibles.",6.88,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"La auditoría muestra un intento fallido de lectura del archivo /etc/shadow (exit=-13) sin credenciales autenticadas, lo cual es indicativo directo para una posible intrusión.",6.94,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",ALTO,"Usuario con privilegios elevó permisos para ejecutar sudo, lo cual es común; sin embargo, el intento fue exitoso y la variable 'euid' indica que usa sus propios credenciales, posiblemente indicando un comportamiento sospechoso.",7.47,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Se observa un intento fallido (exit=-13) de lectura del archivo /etc/shadow por el comando cat, lo cual sugiere una actividad no autorizada para obtener credenciales.",7.04,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",MEDIO,"El comando sudo fue ejecutado por el usuario con privilegios elevados, lo cual es normal; sin embargo, la combinación de comandos poten0cialmente peligrosos que siguen después del sudo podrían indicar una actividad sospechosa y requieren monitoreo.",7.79,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intento fallido de lectura del archivo /etc/shadow, exit=-13 indica un error debido a falta de permisos; este es un comportamiento sospechoso que puede señalar intento de robo de credenciales.",7.34,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""7"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",MEDIO,"El uso de sudo con privilegios elevados (euid=0) podría ser normal, pero el riesgo se considera medio ya que depende del contexto y las acciones seguidos.",6.09,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intentión evidente por parte del usuario, identificado como 'nobody' con permisos elevados (uid=0 euid=0 suid=0), de acceder a información confidencial en el archivo /etc/shadow mediante la herramienta que toma prestadas temporalmente.",7.85,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""10"", ""auid"": ""1000"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""useradd"", ""exe"": ""/usr/sbin/useradd"", ""key"": ""shadow_access"", ""type"": ""SYSCALL""}",INFO,La acción de useradd es normal para un administrador y no representa riesgos inmediatos ya que el exit se establece en '10' lo cual indica éxito.,5.91,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/shadow"", ""type"": ""PATH""}",ALTO,"Intentar leer el archivo /etc/shadow, que contiene información de contraseñas y hashes, sin permisos adecuados es sospechoso e indica un alto riesgo.",6.44,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
