Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:256): auid=1000 ses=1 subj=unconfined op=add_rule key=""sudoers_changes"" list=4 res=1AUID=""alumno""",MEDIO,"La adición de un nuevo alumno (AUID) a los usuarios con privilegios puede ser normal si se realiza mediante procedimientos administrativos, pero no debe ocurrir sin monitoreo adecuado para evitar posibles riesgos.",8.5,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:256): arch=c000003e syscall=44 success=yes exit=1084 a0=3 a1=7ffd37190a40 a2=43c a3=0 items=1 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario root intentó establecer registros audit con la utilidad 'auditctl', lo cual es inusual y potenzadamente peligroso, aumentando el riesgo de registrar información sensible.",8.65,phi3:mini
type=SOCKADDR msg=audit(1779746663.172:256): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 },INFO,"El mensaje registra una conexión que parece ser de prueba o de rutina, sin indicar acciones maliciosas ni violaciones normativas.",6.5,phi3:mini
"type=CWD msg=audit(1779746663.172:256): cwd=""/home/alumno""",INFO,La acción de cambiar directorios (cwd) es una operación común y no presenta riesgos específicos.,5.69,phi3:mini
"type=PATH msg=audit(1779746663.172:256): item=0 name=""/etc/"" inode=1048577 dev=08:02 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El registro muestra un acceso al directorio /etc/ por parte del usuario root, que es una operación normal y está dentro de sus privilegios; no representa riesgo.",7.07,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:256): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,INFO,"El registro indica el uso común de un script que establece una tarea para ejecutar, no presenta signos claros de actividad maliciosa.",6.52,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:264): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f3040293f1e a2=0 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=0 gid=1000 euid=1 suid=0 fsuid=1 egid=0 sgid=1000 fsgid=0 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""sudoers_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""root"" GID=""alumno"" EUID=""daemon"" SUID=""root"" FSUID=""daemon"" EGID=""root"" SGID=""alumno"" FSGID=""root""",MEDIO,"El usuario alumno (uid=0) está utilizando sudo para ejecutar comandos como root, lo cual es común pero requiere monitoreo ya que puede indicar un intento de automatizar acciones con privilegios elevados.",8.99,phi3:mini
"type=CWD msg=audit(1779746681.796:264): cwd=""/home/alumno""",BAJO,"La acción de cambiar directorio con auditd no implica inherentemente un riesgo, a menos que el cambio se haga desde una ubicación privilegiada sin justificación.",6.79,phi3:mini
"type=PATH msg=audit(1779746681.796:264): item=0 name=""/etc/sudoers"" inode=1049309 dev=08:02 mode=0100440 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El archivo /etc/sudoers está siendo monitoreado por auditd para asegurarse que las acciones del usuario root sean legítimas, mostrando un comportamiento esperado en el sistema.",7.73,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:264): proctitle=7375646F00617564697463746C002D6C,INFO,"Log de auditoría normal que solo indica el nombre del proceso y la dirección IP, ambos son comunes en operaciones diarias.",6.06,phi3:mini
