Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=SYSCALL msg=audit(1779748078.328:497): arch=c000003e syscall=59 success=yes exit=0 a0=559e428ca548 a1=559e428cb5c0 a2=559e428e1580 a3=0 items=2 ppid=1382 pid=1383 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""apt-get"" exe=""/usr/bin/apt-get"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El proceso apt-get ejecuta el comando ejecutivo con permisos de root, lo cual es normal en tareas administrativas y no representa un riesgo significativo.",5.26,llama3.2:3b
"type=SYSCALL msg=audit(1779748078.392:504): arch=c000003e syscall=59 success=yes exit=0 a0=556aca352bb8 a1=556aca352af0 a2=556aca352b40 a3=8 items=2 ppid=1387 pid=1389 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""systemctl"" exe=""/usr/bin/systemctl"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario 'alumno' ejecutó systemctl con privilegios de root, lo cual es inusual y requiere monitoreo para detectar posibles intentos de ataques.",5.42,llama3.2:3b
"type=SYSCALL msg=audit(1779748215.592:554): arch=c000003e syscall=59 success=yes exit=0 a0=5640f547b4f8 a1=5640f546d5c0 a2=5640f54801c0 a3=0 items=2 ppid=1415 pid=1416 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""systemctl"" exe=""/usr/bin/systemctl"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El comando systemctl tiene permisos de administrador, lo cual es normal en tareas de mantenimiento, pero requiere monitoreo para asegurarse de que se estén realizando cambios de configuración sin intervención inadecuada.",6.0,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.340:577): arch=c000003e syscall=59 success=yes exit=0 a0=5571388f44f8 a1=5571388e65c0 a2=5571388f9250 a3=0 items=2 ppid=1420 pid=1421 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El usuario ejecutó useradd con privilegios de root, pero el rol 'unconfined' limita la potencialidad de daño.",5.01,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.392:588): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e7037b0 a2=7fff0e7037a8 a3=7f876e3ca740 items=1 ppid=1421 pid=1422 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El proceso useradd ejecutó el comando /usr/sbin/useradd, que es una operación común en la administración de usuarios.",4.96,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.392:589): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e7037b0 a2=7fff0e7037a8 a3=7f876e3ca740 items=1 ppid=1421 pid=1423 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El proceso de useradd intentó ejecutar el comando con permisos de root, lo que puede ser un indicio de vulnerabilidad en la configuración del sistema.",5.24,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.392:590): arch=c000003e syscall=59 success=no exit=-2 a0=56145671236e a1=7fff0e7037c0 a2=7fff0e7037b8 a3=7f876e3ca740 items=1 ppid=1421 pid=1424 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El proceso useradd intentó ejecutar comando con administrador, lo cual es inusual y requiere investigacion adicional.",4.88,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.396:592): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e703c10 a2=7fff0e703c08 a3=7f876e3ca740 items=1 ppid=1421 pid=1425 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El usuario ejecutó useradd con permisos elevados, pero como no tiene privilegios de administrador, la acción es legítima en un entorno de administración local.",5.49,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.396:593): arch=c000003e syscall=59 success=no exit=-2 a0=561456712385 a1=7fff0e703c10 a2=7fff0e703c08 a3=7f876e3ca740 items=1 ppid=1421 pid=1426 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario ejecutó el comando useradd con privilegios de root, lo cual es inusual y requiere atención.",4.81,llama3.2:3b
"type=SYSCALL msg=audit(1779748378.400:594): arch=c000003e syscall=59 success=no exit=-2 a0=56145671236e a1=7fff0e703c20 a2=7fff0e703c18 a3=7f876e3ca740 items=1 ppid=1421 pid=1427 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4 comm=""useradd"" exe=""/usr/sbin/useradd"" subj=unconfined key=""root_commands""ARCH=x86_64 SYSCALL=execve AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El usuario ejecutó useradd con privilegios, lo cual es normal en tareas administrativas, pero requiere monitoreo y verificación de la integridad del sistema.",5.49,llama3.2:3b
