Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:258): auid=1000 ses=1 subj=unconfined op=add_rule key=""shadow_access"" list=4 res=1AUID=""alumno""",MEDIO,Addición de una entrada para el usuario 'alumno' en los registros del shadow sugiere un intento poten0cialmente no autorizado por parte desconocidos o malintencionados.,12.41,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:258): arch=c000003e syscall=44 success=yes exit=1080 a0=3 a1=7ffd37190a40 a2=438 a3=0 items=1 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario root intentó utilizar auditctl, un comando con privilegios elevados que debería ser restringido en la práctica para mantener una separación de responsabilidades.",7.86,phi3:mini
type=SOCKADDR msg=audit(1779746663.172:258): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 },INFO,No hay indicaciones de actividades maliciosas y el mensaje parece ser una entrada común en los logs que no necesariamente representa un riesgo.,6.37,phi3:mini
"type=CWD msg=audit(1779746663.172:258): cwd=""/home/alumno""",INFO,"Lectura de directorio normal para almacenar archivos temporales, sin indicadores de actividades sospechosas.",5.79,phi3:mini
"type=PATH msg=audit(1779746663.172:258): item=0 name=""/etc/"" inode=1048577 dev=08:02 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Las auditd logs indican que el directorio /etc/ ha sido accesado por root, lo cual es normal y esperable en la operación de sistemas a nivel de sistema.",6.94,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:258): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,BAJO,"En el log se observa la ejecución del comando 'cat' por un usuario con permisos elevados (uid=0), lo cual es normal en contextos administrativos, sin embargo requiere monitoreo.",7.48,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:266): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f30408222c4 a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno intentó ejecutar sudo con el propósito de escalonar privilegios, lo cual no está permitido y puede sugerir un intento sospechoso que requiere una investigación inmediata.",8.79,phi3:mini
"type=CWD msg=audit(1779746681.800:266): cwd=""/home/alumno""",BAJO,Un cambio de directorio es una operación común y no presenta riesgos inmediatos.,5.2,phi3:mini
"type=PATH msg=audit(1779746681.800:266): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"Información sobre la ejecución normal del proceso root, que tiene permisos adecuados para acceder al archivo /etc/shadow.",6.28,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:266): proctitle=7375646F00617564697463746C002D6C,INFO,"El log muestra el título del proceso 'root', que es un término estándar sin riesgo inusual.",5.61,phi3:mini
"type=SYSCALL msg=audit(1779747406.360:303): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7fbab0a582c4 a2=80000 a3=0 items=1 ppid=952 pid=1276 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"Usuario root intentando ejecutar sudo como alumno, lo cual es inusual y sugiere manipulación de permisos.",7.02,phi3:mini
"type=CWD msg=audit(1779747406.360:303): cwd=""/home/alumno""",INFO,"El sistema logra cambiar el directorio a '/home/alumno', que es una operación común y no presenta riesgos asociados.",5.96,phi3:mini
"type=PATH msg=audit(1779747406.360:303): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"La referencia al archivo /etc/shadow es normal y no representa un riesgo, ya que este contiene información de contraseñas.",6.05,phi3:mini
type=PROCTITLE msg=audit(1779747406.360:303): proctitle=7375646F006175736561726368002D6B007061737377645F6368616E676573002D2D726177,MEDIO,"El log muestra un intento de ejecución con proctitle en el directorio /tmp, lo que podría indicar actividades sospechosas como rootkits o malware.",7.01,phi3:mini
"type=SYSCALL msg=audit(1779747421.900:318): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7ff6452c52c4 a2=80000 a3=0 items=1 ppid=640 pid=1281 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""cron"" exe=""/usr/sbin/cron"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",MEDIO,"La actividad de cron como usuario root concreta un riesgo, aunque normal. La repetición podría ser para la automatización o una explotación si no se han implementado controles adecuados.",8.04,phi3:mini
"type=CWD msg=audit(1779747421.900:318): cwd=""/var/spool/cron""",INFO,El cambio de directorio a /var/spool/cron es una operación común para los trabajos cron y no representa un riesgo elevado.,6.11,phi3:mini
