Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:255): auid=1000 ses=1 subj=unconfined op=add_rule key=""passwd_changes"" list=4 res=1AUID=""alumno""",BAJO,"Se registró un cambio de configuración concreto para alumno en audit.plist, lo cual puede ser una operación administrativa típica.",9.41,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:255): arch=c000003e syscall=44 success=yes exit=1084 a0=3 a1=7ffd37190a40 a2=43c a3=0 items=0 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El registro muestra un intento fallido de auditoría (exit=1084) por parte del usuario alumno, identificado con UID 'root', lo cual no tiene sentido ya que el USER ID siempre debe ser 0 para iniciar procesos y puede indicar una actividad sospechosa.",8.7,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:255): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,MEDIO,"El registro indica un intento de ejecutar binarios con nombres y extensiones similares a los comunes en el sistema, lo cual podría ser indicativo de una exploración por parte de atacantes o malware.",6.66,phi3:mini
"type=SYSCALL msg=audit(1779746681.792:261): arch=c000003e syscall=257 success=yes exit=3 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario 'alumno' realizó una operación que modifica permisos de archivos con sudo sin cambios en el grupo o seguidores, lo cual es sospechoso cuando se realiza como root y puede indicar un comportamiento malicioso.",7.82,phi3:mini
"type=CWD msg=audit(1779746681.792:261): cwd=""/home/alumno""",BAJO,La acción de cambiar directorios es una operación común y generalmente no representa un riesgo para la seguridad si se realiza por parte del propietario o con los permisos adecuados.,6.22,phi3:mini
"type=PATH msg=audit(1779746681.792:261): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",BAJO,La ejecución normal del root para ver el contenido de /etc/passwd no es sospechosa.,5.09,phi3:mini
type=PROCTITLE msg=audit(1779746681.792:261): proctitle=7375646F00617564697463746C002D6C,INFO,"La entrada es un log de PROCTITLE que indica el título del proceso, lo cual no necesariamente implica ningún riesgo sin más contexto.",5.51,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:262): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno intentó ejecutar sudo para realizar cambios en el archivo /etc/passwd, lo cual es sospechoso ya que requiere privilegios de root y su UID no refleja esa capacidad.",7.55,phi3:mini
"type=CWD msg=audit(1779746681.796:262): cwd=""/home/alumno""",INFO,"El usuario cambió el directorio de trabajo, lo cual es una acción común y no representa un riesgo.",4.79,phi3:mini
"type=PATH msg=audit(1779746681.796:262): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,La lectura del archivo /etc/passwd con permisos estándar y por parte de root es una operación común y segura.,5.48,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:262): proctitle=7375646F00617564697463746C002D6C,INFO,La entrada del tipo PROCTITLE es normal en Linux y no indica ningún riesgo de seguridad.,4.86,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:263): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",MEDIO,"El usuario alumno logra ejecutar sudo con permisos de root, lo cual es inusual y puede indicar una falta en la política 'sudoers' o malconfiguración que debe ser investigada más a fondo.",7.46,phi3:mini
"type=CWD msg=audit(1779746681.796:263): cwd=""/home/alumno""",INFO,El cambio de directorio es un comportamiento esperado y no representa ningún riesgo por sí solo.,4.52,phi3:mini
