Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:255): auid=1000 ses=1 subj=unconfined op=add_rule key=""passwd_changes"" list=4 res=1AUID=""alumno""",INFO,"Se añadió una regla a la tabla de paswords con éxito (exit=resultado exitoso), lo cual indica que el cambio fue realizado por un usuario autorizado, como sería normal para administradores o seguridad.",14.97,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:255): arch=c000003e syscall=44 success=yes exit=1084 a0=3 a1=7ffd37190a40 a2=43c a3=0 items=0 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El log muestra que se ejecutó auditctl, un comando de configuración administrativa con privilegios elevados (UID=root), lo cual es inusual para el uso normal del sistema y podría indicar una intención maliciosa o negligencia.",9.85,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:255): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,INFO,El proctitle muestra el proceso iniciado y no indica ninguna acción maliciosa.,5.69,phi3:mini
"type=SYSCALL msg=audit(1779746681.792:261): arch=c000003e syscall=257 success=yes exit=3 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",MEDIO,"El alumnus intentó usar sudo, pero se esperaba que solo ejecutara comandos administrativos bajo su propio UID y no como root. Esto indica una posible intención de explotación o un error accidental en la configuración del sistema.",9.58,phi3:mini
"type=CWD msg=audit(1779746681.792:261): cwd=""/home/alumno""",BAJO,El cambio de directorio es una operación común y no representa un riesgo significativo por sí sola.,6.24,phi3:mini
"type=PATH msg=audit(1779746681.792:261): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Información sobre el acceso al archivo /etc/passwd por root, que es normal para un usuario con privilegios de superusuario.",6.93,phi3:mini
type=PROCTITLE msg=audit(1779746681.792:261): proctitle=7375646F00617564697463746C002D6C,INFO,El log indica un título del proceso con formato de proctitle común que no parece representar una amenaza inmediata ni revela datos sensibles.,6.55,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:262): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno ejecutó sudo, lo cual es normal pero requiere un seguimiento cercano ya que el cambio de UID a root podría indicar una actividad sospechosa.",8.35,phi3:mini
"type=CWD msg=audit(1779746681.796:262): cwd=""/home/alumno""",INFO,El usuario alumno se movió de un directorio a otro sin incidentes notorios en el log.,5.54,phi3:mini
"type=PATH msg=audit(1779746681.796:262): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El registro indica el acceso al archivo /etc/passwd por parte del usuario root con permisos normales, lo cual es habitual y no representa un riesgo.",7.31,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:262): proctitle=7375646F00617564697463746C002D6C,INFO,"El log muestra el título del proceso, que es común y no necesariamente indica una amenaza.",5.66,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:263): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno utilizó el comando sudo para modificar archivos de pasword, lo cual es inusual y representa un alto riesgo.",7.4,phi3:mini
"type=CWD msg=audit(1779746681.796:263): cwd=""/home/alumno""",MEDIO,"El cambio de directorio al home del usuario 'alumno' es una acción común y normal, pero puede indicar movimiento dentro de un sistema concreto que podría ser explotable si se combina con otras actividades sospechosas.",8.25,phi3:mini
"type=PATH msg=audit(1779746681.796:263): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",BAJO,La modificación del archivo /etc/passwd por el usuario root es una operación normal y no representa un riesgo significativo.,6.61,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:263): proctitle=7375646F00617564697463746C002D6C,INFO,"El log indica un cambio de titulo del proceso (proctitle) que parece ser una transición común en sistemas, no presentando ninguna señal de riesgo inmediata.",7.16,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:265): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno intentó ejecutar el comando sudo con privilegios elevados para realizar cambios de pasword en un archivo protegido por grupos y derechos (exit=7), lo cual indica una posible intención maliciosa o descuido.",9.75,phi3:mini
"type=CWD msg=audit(1779746681.800:265): cwd=""/home/alumno""",BAJO,El cambio de directorio es una operación común y no implica inherentemente un riesgo a menos que se asocie con otras actividades maliciosas.,6.52,phi3:mini
"type=PATH msg=audit(1779746681.800:265): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Se registro normal de acceso a /etc/passwd, un archivo que contiene información del sistema.",5.69,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:265): proctitle=7375646F00617564697463746C002D6C,INFO,"Se registra la ejecución del comando proctitle, que es utilizado para mostrar el título de proceso en un sistema; no hay signos evidentes de mal uso.",6.74,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:268): arch=c000003e syscall=257 success=yes exit=6 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",MEDIO,"El usuario alumno utilizó sudo para ejecutar una operación que podría ser peligrosa, pero sin detalles del objeto oaccesos realizados, no se puede considerar un riesgo alto.",8.71,phi3:mini
