Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:258): auid=1000 key=""shadow_access""",INFO,"Se registró un cambio de configuración relacionado con la clave 'shadow_access', pero sin detalles adicionales se desconoce si fue malicioso o no.",6.11,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:258): syscall=44 success=yes exit=1080 auid=1000 uid=0 gid=0 euid=0 comm=""auditctl"" exe=""/usr/sbin/auditctl"" key=(null)",INFO,"La auditoría mostró la ejecución del comando auditctl, que es el administrador de eventos AIDE. El intento exitoso (exit=1080), no presenta riesgos ya que está realizando su función predet0ected.",7.33,phi3:mini
type=SOCKADDR msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
type=CWD msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746663.172:258): name=""/etc/""",BAJO,"La ejecución de comandos como parte del PATH es una acción común para los administradores que necesitan realizar operaciones en directorios importantes, sin embargo, no presenta riesgos inmediatos si se realiza con la identidad adecuada.",6.84,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:266): syscall=257 success=yes exit=7 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""shadow_access""",MEDIO,"El usuario intentó usar sudo para ejecutar el comando que normalmente tiene permiso de privilegios, lo cual es inusual y justifica una investigación detallada.",6.28,phi3:mini
type=CWD msg=audit(1779746681.800:266):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:266): name=""/etc/shadow""",ALTO,"Intento fallido de lectura del archivo /etc/shadow, posible intento de ataque mediante el acceso no autorizado a información sensible como las contraseñas.",5.88,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:266):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
