Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:255): auid=1000 key=""passwd_changes""",ALTO,Modificación de archivos del directorio '/.pam' puede indicar cambios en las credenciales o configuración que potenzallenan la seguridad.,10.19,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:255): syscall=44 success=yes exit=1084 auid=1000 uid=0 gid=0 euid=0 comm=""auditctl"" exe=""/usr/sbin/auditctl"" key=(null)",INFO,"Actividad administrativa normal para el sistema, sin indicaciones de acciones maliciosas.",5.18,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:255):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.792:261): syscall=257 success=yes exit=3 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",MEDIO,"El uso de 'sudo' junto con intentos en el archivo '/etc/shadow' sugiere modificaciones potenciales, aunque sin exitoso resultado. Esta actividad es sospechosa y requiere una investigación adicional.",7.78,phi3:mini
type=CWD msg=audit(1779746681.792:261):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.792:261): name=""/etc/passwd""",INFO,Acceso normal al archivo de inicio sin indicadores de acciones maliciosas.,4.94,phi3:mini
type=PROCTITLE msg=audit(1779746681.792:261):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:262): syscall=257 success=yes exit=5 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",MEDIO,"El comando sudo ejecutado por un usuario normal a menudo indica que se están realizando operaciones de privilegio elevados, lo cual puede ser indicativo potencialmente peligroso si estos cambios no son autorizados.",7.93,phi3:mini
type=CWD msg=audit(1779746681.796:262):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.796:262): name=""/etc/passwd""",BAJO,"Lectura de un archivo general por usuario sin privilegios, no representa riesgo.",5.31,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:262):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:263): syscall=257 success=yes exit=5 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",MEDIO,"Uso de sudo que puede implicar cambios en la configuración del sistema, pero sin más contexto es difícil evaluar como alto o bajo.",6.5,phi3:mini
type=CWD msg=audit(1779746681.796:263):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.796:263): name=""/etc/passwd""",BAJO,Acceso exitoso a archivo estándar de usuarios sin indicaciones directas de malicia.,5.42,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:263):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:265): syscall=257 success=yes exit=7 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",ALTO,"Modificación de archivos críticos observada con el comando sudo, incrementa riesgo.",5.28,phi3:mini
type=CWD msg=audit(1779746681.800:265):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:265): name=""/etc/passwd""",INFO,Actividad de lectura regular del archivo passthought no representa riesgos significativos.,5.21,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:265):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:268): syscall=257 success=yes exit=6 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",MEDIO,"Uso de sudo para modificar archivos, potencial acceso elevado a recursos del sistema.",5.62,phi3:mini
type=CWD msg=audit(1779746681.800:268):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:268): name=""/etc/passwd""",BAJO,"Uso normal por parte de usuarios para leer el archivo /etc/passwd, que contiene información básica sobre los usuarios del sistema.",6.33,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:268):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:270): syscall=257 success=yes exit=8 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",MEDIO,"Uso de sudo para modificaciones no relacionadas con scripts o servicios, lo que sugiere posibles cambios incontrolables.",6.01,phi3:mini
type=CWD msg=audit(1779746681.800:270):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:270): name=""/etc/passwd""",BAJO,Lectura exitosa de un archivo general por usuario sin privilegios elevados.,5.21,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:270):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:271): syscall=257 success=yes exit=13 auid=1000 uid=1000 gid=0 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""passwd_changes""",ALTO,"Intento de cambio de contraseña, una actividad que puede sugerir un intento directo para obtener acceso a la cuenta actualizada.",6.49,phi3:mini
type=CWD msg=audit(1779746681.800:271):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:271): name=""/etc/passwd""",BAJO,"Lectura exitosa de un archivo general por parte de usuarios sin privilegios, normal en el monitoreo.",5.83,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:271):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
